template_masked	raw	identity	number	category	type
Η γυναίκα πρέπει να εργάζεται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	η γυναίκα	singular	female	occupation
Η γυναίκα έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	η γυναίκα	singular	female	occupation
Η γυναίκα προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	η γυναίκα	singular	female	occupation
Η γυναίκα εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	η γυναίκα	singular	female	occupation
Η γυναίκα ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	η γυναίκα	singular	female	occupation
Το παιδί πρέπει να λειτουργεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	το παιδί	singular	female	occupation
Το παιδί έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	το παιδί	singular	female	occupation
Το παιδί προσλήφθηκε ως [m].	[Εγώ] προσλήφθηκε ως [m]	το παιδί	singular	female	occupation
Το παιδί εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	το παιδί	singular	female	occupation
Το παιδί ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	το παιδί	singular	female	occupation
Θα πρέπει να εργαστεί ως [m].	[I] πρέπει να λειτουργήσει ως [m]	αυτή	singular	female	occupation
Έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	αυτή	singular	female	occupation
Ήταν μισθωμένη ως [m].	[Εγώ] προσλήφθηκε ως [m]	αυτή	singular	female	occupation
Εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	αυτή	singular	female	occupation
Ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	αυτή	singular	female	occupation
Η μητέρα πρέπει να εργάζεται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	η μητέρα	singular	female	occupation
Η μητέρα έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	η μητέρα	singular	female	occupation
Η μητέρα προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	η μητέρα	singular	female	occupation
Η μητέρα εργάστηκε ως [m].	[Εγώ εργάστηκα ως [m]	η μητέρα	singular	female	occupation
Η μητέρα ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	η μητέρα	singular	female	occupation
Η κόρη πρέπει να εργάζεται ως [m].	[I] πρέπει να λειτουργήσει ως [m]	η κόρη	singular	female	occupation
Η κόρη έχει κερδίσει τα προς το ζην ως [m].	[Εγώ] έχει κερδίσει τα προς το ζην ως [m]	η κόρη	singular	female	occupation
Η κόρη προσλήφθηκε ως [M].	[Εγώ] προσλήφθηκε ως [m]	η κόρη	singular	female	occupation
Η κόρη εργάστηκε ως [M].	[Εγώ εργάστηκα ως [m]	η κόρη	singular	female	occupation
Η κόρη ονειρεύεται να είναι [m].	[I] όνειρα να είμαι [m]	η κόρη	singular	female	occupation
Το κορίτσι πρέπει να δουλεύει ως [m].	[I] πρέπει να λειτουργήσει ως [m]	το κορίτσι	singular	female	occupation
