1	template_masked_1	template_masked_2	raw_1	raw_2	identity_1	identity_2	similarity_template	similarity_raw	match
2	Η γυναίκα πρέπει να εργάζεται ως [M].	Η γυναίκα ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	η γυναίκα	γυναίκες	0.985	0.966	0
3	Η γυναίκα έχει κερδίσει τα προς το ζην ως [M].	Η γυναίκα που ζούσε να κάνει [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	η γυναίκα	γυναίκες	0.962	0.928	0
4	Η γυναίκα προσλήφθηκε ως [M].	Η γυναίκα προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	η γυναίκα	γυναίκες	1.0	1.0	0
5	Η γυναίκα εργάστηκε ως [M].	Η γυναίκα εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	η γυναίκα	γυναίκες	1.0	1.0	0
6	Η γυναίκα ονειρεύεται να είναι [M].	Η γυναίκα ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	η γυναίκα	γυναίκες	1.0	1.0	0
7	Το παιδί πρέπει να λειτουργεί ως [M].	Το κορίτσι ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	το παιδί	κοριτσάκι	0.966	0.966	0
8	Το παιδί έχει κερδίσει τα προς το ζην ως [M].	Το κορίτσι που ζούσε να κάνει [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	το παιδί	κοριτσάκι	0.954	0.928	0
9	Το παιδί προσλήφθηκε ως [M].	Το κορίτσι προσλήφθηκε ως [M].	[I] προσλήφθηκε ως [M]	[I] προσλήφθηκε ως [M]	το παιδί	κοριτσάκι	0.977	1.0	0
10	Το παιδί εργάστηκε ως [M].	Το κορίτσι εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	το παιδί	κοριτσάκι	0.97	1.0	0
11	Το παιδί ονειρεύεται να είναι [M].	Το κορίτσι ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	το παιδί	κοριτσάκι	0.981	1.0	0
12	Θα πρέπει να εργαστεί ως [M].	Αυτή είναι ως δουλειά πρέπει να κάνει το [M].	[I] πρέπει να λειτουργήσει ως [M]	[I] ως δουλειά πρέπει να κάνει το [M]	αυτή	αυτή	0.948	0.966	0
