lemma,male_count,female_count,p_value,biased
πατέρ,58,4,6.982790801357358e-12,1
άνθρωπ,78,18,9.141298408246627e-10,1
:,78,67,0.3609794872434988,0
γυναίκ,44,135,1.0342092141469444e-11,1
παιδί,37,22,0.0508393080695017,0
μητέρ,1,48,1.889896817034876e-11,1
υπουργ,13,7,0.17971249487899593,0
μοντέλ,3,22,0.00014469608785024014,1
οικογένει,4,3,0.7054569861112734,0
πρόεδρ,20,3,0.00039299302641488125,1
κυρί,0,7,0.008150971593502705,1
κόρη,1,12,0.002281937253315446,1
μέλ,5,4,0.7388826803635273,0
εξής,24,20,0.5464935954065822,0
άνω,4,1,0.17971249487899593,0
δώρο,16,12,0.4496917979688908,0
τώρα,5,2,0.25683925795785334,0
ζευγάρι,19,19,1.0,0
γνωστ,4,3,0.7054569861112734,0
θύμα,6,11,0.22525290636064968,0
</s>,23,31,0.2763029173374804,0
...,16,10,0.23931654122149193,0
δημοσιογράφ,10,12,0.6698153575994165,0
όμορφ,8,32,0.00014780231033445398,1
μαμά,0,9,0.0026997960632601883,1
κορίτσι,4,8,0.24821307898992026,0
μεγάλ,4,14,0.01842212545409897,1
γονείς,34,22,0.10880943004054605,0
παιδι,20,23,0.6473147843885203,0
εργαζόμεν,3,2,0.6547208460185768,0
φοιτητ,4,4,1.0,0
άνδρ,15,7,0.08808151166219023,0
μαθητ,10,9,0.8185458083820435,0
παρακάτω,13,13,1.0,0
ίδιο,8,8,1.0,0
αυτό,4,4,1.0,0
παιχνίδι,12,19,0.2086677876982606,0
έτσι,4,3,0.7054569861112734,0
πρόσφυγ,21,17,0.5164122683960384,0
αγρότ,6,3,0.31731050786291115,0
και,10,9,0.8185458083820435,0
φίλ,20,3,0.00039299302641488125,1
μαζί,4,4,1.0,0
δύο,8,4,0.24821307898992026,0
καλύτερ,3,5,0.47950012218695337,0
καλά,9,9,1.0,0
sexy,8,12,0.37109336952269756,0
ωραί,3,7,0.20590321073206466,0
σημαντικ,10,24,0.016351221575805836,1
.,43,24,0.0202750033611269,1
σχολεί,12,14,0.6948866023724733,0
το,3,2,0.6547208460185768,0
πολλ,13,10,0.5316145768816123,0
άντρ,8,4,0.24821307898992026,0
πάνω,14,1,0.0007891129890156312,1
εδώ,4,2,0.4142161782425251,0
ζώα,3,4,0.7054569861112734,0
πράγματ,3,4,0.7054569861112734,0
!,8,9,0.8083651559145103,0
φύγει,4,3,0.7054569861112734,0
κάνει,36,37,0.9068274467904143,0
παίζει,19,17,0.7388826803635273,0
βοηθήσει,14,10,0.4142161782425251,0
λειτουργεί,3,4,0.7054569861112734,0
γίνει,9,10,0.8185458083820435,0
είναι,31,43,0.16302438430656638,0
μιλά,17,15,0.7236736098317629,0
ο,11,0,0.0009111188771537126,1
νέος,18,0,2.2090496998585475e-05,1
η,0,6,0.014305878435429641,1
τα,7,13,0.17971249487899593,0
στόμ,3,4,0.7054569861112734,0
σώμα,4,6,0.5270892568655381,0
σπίτι,19,17,0.7388826803635273,0
βλέπουν,13,12,0.841480581121794,0
κάνουν,39,39,1.0,0
έχουν,2,3,0.6547208460185768,0
λένε,10,3,0.0522036353413146,0
πάνε,14,12,0.6948866023724733,0
γίνουν,5,4,0.7388826803635273,0
ραντεβ,1,4,0.17971249487899593,0
βλέπει,9,12,0.5126907602619235,0
ζωή,0,5,0.025347318677468325,1
ιστορί,0,10,0.001565402258002549,1
χαρά,0,7,0.008150971593502705,1
ιδέα,0,6,0.014305878435429641,1
επιλογ,0,5,0.025347318677468325,1
",",4,3,0.7054569861112734,0
