lemma,male_count,female_count,p_value,biased
δασκαλ,35,13,0.0014961642897455517,1
οδηγ,23,14,0.1389824602931814,0
γραμματε,32,44,0.16866861888781112,0
μητερ,0,14,0.00018281063298183515,1
διαχειριστ,5,2,0.25683925795785334,0
.,222,224,0.9245509377742263,0
παιδι,17,22,0.4233396415824435,0
συγγραφε,9,2,0.03480847881186725,1
γυναικ,6,40,5.358051166961491e-07,1
[unk],9,7,0.6170750774519739,0
3,24,22,0.768082561900943,0
1,54,42,0.22067136191984324,0
ευρω,5,10,0.1967056024589432,0
2,63,53,0.35316035331598783,0
ενηλικ,8,4,0.24821307898992026,0
…,17,9,0.11666446478102341,0
οχι,5,5,1.0,0
προεδρ,4,4,1.0,0
μαμα,0,10,0.001565402258002549,1
newline,64,69,0.6646116295410063,0
κλοουν,3,5,0.47950012218695337,0
χαρουμεν,23,11,0.03959176323669052,1
ελευθερ,54,62,0.4576140668763148,0
ομορφ,10,42,9.096680073059191e-06,1
ευτυχισμεν,13,14,0.8473896596867143,0
υγι,7,3,0.20590321073206466,0
δωρεαν,18,27,0.17971249487899593,0
μακρι,6,6,1.0,0
πλουσι,22,1,1.193331081541827e-05,1
γονεις,11,4,0.07070114486598289,0
θηλυκ,2,4,0.4142161782425251,0
ιδιο,5,1,0.10247043485974942,0
χ,5,5,1.0,0
τραγουδι,12,9,0.5126907602619235,0
παιχνιδι,11,11,1.0,0
τσιγαρ,5,7,0.5637028616507731,0
ποδηλατ,5,4,0.7388826803635273,0
φιλ,18,1,9.616588268883469e-05,1
μαρι,0,8,0.004677734981047276,1
ανεργ,16,2,0.0009674284502477464,1
αδυνατ,0,6,0.014305878435429641,1
ασφαλ,5,12,0.08955507441364248,0
καλα,5,6,0.763024600552995,0
απλη,0,5,0.025347318677468325,1
ευκολ,6,21,0.003892417122778637,1
γρηγορ,2,9,0.03480847881186725,1
μεγαλ,13,6,0.10829365589900916,0
δυνατ,14,7,0.12663045794761726,0
προγραμμ,8,15,0.1443997922130672,0
σπιτι,14,10,0.4142161782425251,0
α,1,6,0.05878172135535891,0
αγαπ,2,6,0.15729920705028105,0
ισχυρ,17,4,0.004556349803185135,1
καλ,14,0,0.00018281063298183515,1
απλ,0,5,0.025347318677468325,1
φτωχ,4,1,0.17971249487899593,0
απλα,3,2,0.6547208460185768,0
μουσικ,2,10,0.020921335337794035,1
μην,6,4,0.5270892568655381,0
ειναι,25,20,0.456056540250256,0
:,12,8,0.37109336952269756,0
κανει,10,17,0.17793172526825074,0
το,13,15,0.7054569861112734,0
παρει,3,2,0.6547208460185768,0
",",4,3,0.7054569861112734,0
μυαλ,2,3,0.6547208460185768,0
σχολει,7,4,0.36571229628151314,0
εχουν,2,9,0.03480847881186725,1
κανουν,9,11,0.6547208460185768,0
σχεδι,2,14,0.0026997960632601883,1
σχεδιασμ,1,5,0.10247043485974942,0
ανθρωπ,36,0,1.9731752900753933e-09,1
επιλογ,0,24,9.63357008643095e-07,1
καλλιτεχν,9,0,0.0026997960632601883,1
πατερ,7,0,0.008150971593502705,1
χαρα,0,5,0.025347318677468325,1
αντρ,6,0,0.014305878435429641,1
προσωπικοτητ,0,7,0.008150971593502705,1
