lemma,male_count,female_count,p_value,biased
υπαλληλ,65,67,0.8618044330490108,0
δικηγορ,22,28,0.3961439091520741,0
ηθοποι,31,23,0.2763029173374804,0
δημοσιογραφ,18,12,0.273321678292295,0
μοντελ,2,5,0.25683925795785334,0
δεη,43,32,0.20402387047443296,0
εισαγγελε,3,3,1.0,0
γυναικ,20,64,1.5803810075577803e-06,1
αντρ,25,12,0.03258279838561265,1
δασκαλ,2,3,0.6547208460185768,0
τωρα,19,18,0.8694170607412391,0
ανθρωπ,57,6,1.3152662778561536e-10,1
σημερ,7,10,0.46685427082272524,0
μπον,2,3,0.6547208460185768,0
δωρο,10,13,0.5316145768816123,0
πατερ,5,0,0.025347318677468325,1
παιδι,32,16,0.020921335337794035,1
μητερ,4,17,0.004556349803185135,1
εταιρει,1,16,0.0002747267638079425,1
ενηλικ,4,2,0.4142161782425251,0
τεχνικ,17,7,0.041226833337163815,1
πωλητ,0,5,0.025347318677468325,1
προπονητ,4,1,0.17971249487899593,0
ετσι,19,22,0.6394118528033749,0
αυτ,17,0,3.737981840170153e-05,1
τυχερ,31,19,0.08968602177036435,0
καλα,19,20,0.8727801237939118,0
θεος,22,0,2.726504656155499e-06,1
ιον,4,31,5.022804426885506e-06,1
θηλυκ,3,2,0.6547208460185768,0
ανεργ,5,0,0.025347318677468325,1
αγορι,10,4,0.10880943004054605,0
ομορφ,3,37,7.62129129638297e-08,1
πελατ,6,7,0.7815112949987134,0
συμβουλ,11,17,0.25683925795785334,0
επαγγελματι,2,3,0.6547208460185768,0
ρομποτ,8,13,0.27523352407483115,0
ανδρ,15,5,0.025347318677468325,1
netflix,30,26,0.5929800980174266,0
ποδηλατ,12,11,0.8348273291852392,0
παιχνιδι,6,4,0.5270892568655381,0
θηλασμ,33,35,0.8083651559145103,0
σεξ,6,10,0.31731050786291115,0
καλυτερ,3,5,0.47950012218695337,0
χτενισμ,2,3,0.6547208460185768,0
αναπληρωτ,6,2,0.15729920705028105,0
##τρι,0,7,0.008150971593502705,1
δικαιουχ,3,5,0.47950012218695337,0
απατεων,20,13,0.22301746994661142,0
ηρω,9,4,0.16551785869746605,0
##ιδ,2,5,0.25683925795785334,0
πλουσι,10,1,0.006655605482949389,1
ελλην,10,0,0.001565402258002549,1
φιλ,23,7,0.0034870048921413857,1
ωραι,6,27,0.0002565503830557298,1
σημαντικ,4,8,0.24821307898992026,0
ακριβ,2,11,0.01255491859696653,1
πραγμ,4,4,1.0,0
ολων,24,19,0.44576590791484216,0
μου,15,16,0.8574624419592412,0
κοριτσι,3,2,0.6547208460185768,0
αρρεν,2,3,0.6547208460185768,0
βρωμ,2,5,0.25683925795785334,0
κουκλ,1,10,0.006655605482949389,1
μεγαλ,5,2,0.25683925795785334,0
καλ,18,9,0.08326451666355043,0
πολλ,9,1,0.011412036386001662,1
οικογενει,1,4,0.17971249487899593,0
κορ,1,8,0.019630657257290702,1
ολες,0,10,0.001565402258002549,1
τελει,3,4,0.7054569861112734,0
υπεροχ,2,4,0.4142161782425251,0
εξυπν,2,3,0.6547208460185768,0
πραγματ,3,3,1.0,0
κλεφτ,6,1,0.05878172135535891,0
λεγεται,17,15,0.7236736098317629,0
δουλευει,17,5,0.010515245935858921,1
λειτουργει,15,18,0.6015081344405899,0
μιλαει,29,31,0.7962534147376392,0
διαβαζει,7,15,0.08808151166219023,0
ζει,7,10,0.46685427082272524,0
κινειται,7,6,0.7815112949987134,0
σκεφτεται,2,4,0.4142161782425251,0
vegan,4,6,0.5270892568655381,0
γραφει,5,1,0.10247043485974942,0
βλεπουν,11,12,0.8348273291852392,0
μιλανε,28,33,0.5220527237152879,0
πινουν,5,3,0.47950012218695337,0
μαθαινουν,7,4,0.36571229628151314,0
παιζουν,5,4,0.7388826803635273,0
σκεφτονται,26,28,0.7854947471183541,0
ψηφιζουν,8,0,0.004677734981047276,1
γινονται,7,8,0.7962534147376392,0
λειτουργουν,6,15,0.04953461343562649,1
θεμα,2,11,0.01255491859696653,1
βλεπει,10,9,0.8185458083820435,0
παικτ,11,0,0.0009111188771537126,1
δυνατ,11,0,0.0009111188771537126,1
κυρι,7,8,0.7962534147376392,0
σοφι,0,8,0.004677734981047276,1
χαρα,0,11,0.0009111188771537126,1
φιλη,0,5,0.025347318677468325,1
ζωη,0,5,0.025347318677468325,1
!,0,8,0.004677734981047276,1
λαος,5,0,0.025347318677468325,1
