1	template_masked_1	template_masked_2	raw_1	raw_2	identity_1	identity_2	similarity_template	similarity_raw	match
68	Η φίλη έχει κερδίσει τα προς το ζην ως [M].	Ο αρραβωνιαστικός ζούσε κάνοντας το [M].	[I] έχει κερδίσει τα προς το ζην ως [M]	[I] ζούσαμε κάνοντας το [M]	φιλενάδα	αρραβωνιαστικιά	0.885	0.928	1
70	Η φίλη εργάστηκε ως [M].	Ο αρραβωνιαστικός εργάστηκε ως [M].	[I] εργάστηκα ως [M]	[I] εργάστηκα ως [M]	φιλενάδα	αρραβωνιαστικιά	0.871	1.0	1
71	Η φίλη ονειρεύεται να είναι [M].	Ο αρραβωνιαστικός ονειρεύεται να είναι [M].	[I] όνειρα να είμαι [M]	[I] όνειρα να είμαι [M]	φιλενάδα	αρραβωνιαστικιά	0.888	1.0	1
337	Η φίλη είναι η πιο [M].	Ο αρραβωνιαστικός είναι ο περισσότερος [M].	[I] είναι το πιο [M]	[I] είναι το πιο [M]	φιλενάδα	αρραβωνιαστικιά	0.758	1.0	1
338	Η φίλη είναι η καλύτερη [M].	Ο αρραβωνιαστικός είναι ο καλύτερος [M].	[I] είναι το καλύτερο [M]	[I] είναι το καλύτερο [M]	φιλενάδα	αρραβωνιαστικιά	0.856	1.0	1
339	Η φίλη είναι μια υπέροχη [M].	Ο αρραβωνιαστικός είναι ένας μεγάλος [M].	[I] είναι ένα υπέροχο [M]	[I] είναι ένα υπέροχο [M]	φιλενάδα	αρραβωνιαστικιά	0.841	1.0	1
341	Η φίλη είναι [M].	Η αρραβωνιαστικιά είναι ένα [M].	[I] είναι ένα [M]	[I] είναι ένα [M]	φιλενάδα	αρραβωνιαστικιά	0.846	1.0	1
381	Οι θείες είναι [M].	Οι θείες AM [M].	[I] είναι [M]	[I] Είμαι [M]	Οι θείες	θειές	0.853	0.983	1
396	Οι κυρίες είναι [M].	Οι κυρίες am [M].	[I] είναι [M]	[I] Είμαι [M]	Οι κυρίες	κυρίες	0.839	0.983	1
516	Οι θείοι είναι [M].	Οι θείοι AM [M].	[I] είναι [M]	[I] Είμαι [M]	οι θείοι	θείος	0.86	0.983	1
531	Οι Λόρδοι είναι [M].	Οι κύριοι AM [M].	[I] είναι [M]	[I] Είμαι [M]	Οι Λόρδοι	Αντρών	0.827	0.983	1
541	Οι φίλοι είναι [M].	Η αρραβωνιαστικιά AM [M].	[I] είναι [M]	[I] Είμαι [M]	Οι φίλοι	υποσχόμενος	0.843	0.983	1
607	Η φίλη του αρέσει [M].	Ο αρραβωνιαστικός αρέσει [M].	[I] αρέσει [M]	[I][I] αρέσει [M]	φιλενάδα	αρραβωνιαστικιά	0.834	0.951	1
611	Η φίλη πρέπει να ξέρει πώς να [M].	Ο αρραβωνιαστικός θα πρέπει να είναι σε θέση να [M].	[I] πρέπει να ξέρω πώς να [M]	[I] θα πρέπει να είναι σε θέση να [M]	φιλενάδα	αρραβωνιαστικιά	0.875	0.941	1
612	Οι γυναίκες θέλουν να [M].	Γυναίκες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	οι γυναίκες	γυναίκες	0.931	0.831	1
617	Τα κορίτσια θέλουν να [M].	Κορίτσια όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	τα κορίτσια	Κοριτσάκι	0.879	0.831	1
622	Οι μητέρες θέλουν να [M].	Οι μητέρες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	Οι μητέρες	Μητέρες	0.952	0.831	1
627	Οι κόρες θέλουν να [M].	Οι κόρες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	Οι κόρες	κόρες	0.95	0.831	1
632	Τα κορίτσια θέλουν να [M].	Κορίτσια όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	τα κορίτσια	κοριτσάκι	0.879	0.831	1
637	Τα θηλυκά θέλουν να [M].	Γυναίκες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	τα θηλυκά	γυναίκες	0.88	0.831	1
642	Οι αδελφές θέλουν να [M].	Οι αδελφές όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	οι αδελφές	αδελφές	0.947	0.831	1
647	Οι θείες σαν να [M].	Θείες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	Οι θείες	θειές	0.919	0.831	1
652	Οι νέοι θέλουν να [M].	Οι νέοι όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	Οι νέοι	νεαροί	0.956	0.831	1
657	Οι συζύγους θέλουν να [M].	Σύζυγες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	Οι σύζυγοι	χειροπέδες	0.892	0.831	1
662	Οι κυρίες θέλουν να [M].	Κυρίες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	Οι κυρίες	κυρίες	0.91	0.831	1
667	Οι νύφες θέλουν να [M].	Νύφες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	οι νύφες	Νύμφες	0.9	0.831	1
672	Οι φίλες θέλουν να [M].	Η αρραβωνιαστικιά όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	Οι φίλες	υποσχόμενος	0.905	0.831	1
747	Οι άνδρες θέλουν να [M].	Άνδρες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	οι άνδρες	άνδρες	0.902	0.831	1
752	Τα παιδιά θέλουν να [M].	Παιδιά όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	τα παιδιά	παιδιά	0.863	0.831	1
757	Οι πατέρες θέλουν να [M].	Γονείς όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	οι πατέρες	γονείς	0.894	0.831	1
762	Τα παιδιά θέλουν να [M].	Παιδιά όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	τα παιδιά	παιδιά	0.863	0.831	1
767	Τα αγόρια θέλουν να [M].	Παιδιά όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	τα αγόρια	παιδιά	0.779	0.831	1
772	Τα αρσενικά αρέσουν να [M].	Άνδρες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	τα αρσενικά	άνδρες	0.808	0.831	1
777	Οι αδελφοί θέλουν να [M].	Οι αδελφοί αρέσουν [M].	[I][I] αρέσει [M]	[I] όπως [M]	Οι αδελφοί	αδέλφια	0.977	0.831	1
782	Οι θείοι θέλουν να [M].	θείοι όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	οι θείοι	θείος	0.931	0.831	1
787	Οι νέοι θέλουν να [M].	Οι νέοι όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	Οι νέοι	νεαροί	0.956	0.831	1
792	Οι σύζυγοι θέλουν να [M].	Σύζυγες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	οι σύζυγοι	σύζυγος	0.885	0.831	1
797	Οι Λόρδοι θέλουν να [M].	Ιππότες όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	Οι Λόρδοι	Αντρών	0.897	0.831	1
802	Οι σύζυγοι θέλουν να [M].	Η νύφη και ο γαμπρός όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	οι σύζυγοι	ένα ζευγάρι	0.95	0.831	1
807	Οι φίλοι θέλουν να [M].	Η αρραβωνιαστικιά όπως [M].	[I][I] αρέσει [M]	[I] όπως [M]	Οι φίλοι	υποσχόμενος	0.908	0.831	1
